symbol,sector,close,high,low,p,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,opening_high,opening_low,breaking_level,breaking_type,timestamp,breakout_timestamp,status
TATACONSUM,Fast Moving Consumer Goods,1157.9,1158.7,1156.3,1146.4333333333332,1160.2666666666664,1170.4333333333332,1184.2666666666664,1198.0999999999995,1211.933333333333,1136.2666666666664,1122.4333333333332,1112.2666666666664,1102.0999999999995,1091.933333333333,1151.2,1098.3,-,-,2025-04-24T11:50:00+05:30,-,-
SONACOMS,Automobile and Auto Components,471.4,471.45,471.15,470.43333333333334,487.8666666666667,497.28333333333336,514.7166666666667,532.15,549.5833333333333,461.01666666666665,443.5833333333333,434.16666666666663,424.7499999999998,415.33333333333326,488.0,480.9,-,-,2025-04-24T11:50:00+05:30,-,-
ATGL,Oil Gas & Consumable Fuels,625.75,626.0,625.45,625.25,631.15,635.8,641.6999999999999,647.5999999999999,653.5,620.6,614.7,610.0500000000001,605.4000000000001,600.75,631.75,622.95,-,-,2025-04-24T11:50:00+05:30,-,-
NYKAA,Consumer Services,193.75,194.08,193.69,191.89666666666668,195.55333333333334,198.15666666666667,201.81333333333333,205.47000000000003,209.12666666666667,189.29333333333335,185.63666666666668,183.03333333333336,180.43000000000006,177.8266666666667,193.75,192.87,-,-,2025-04-24T11:50:00+05:30,-,-
POLICYBZR,Financial Services,1664.1,1664.7,1664.1,1665.4333333333334,1702.8666666666668,1740.9333333333334,1778.3666666666668,1815.8000000000002,1853.2333333333336,1627.3666666666668,1589.9333333333334,1551.8666666666668,1513.8000000000002,1475.7333333333336,1672.0,1644.8,-,-,2025-04-24T11:50:00+05:30,-,-
TRENT,Consumer Services,5321.0,5324.5,5318.0,5307.166666666667,5403.833333333334,5478.666666666667,5575.333333333334,5672.0,5768.666666666668,5232.333333333334,5135.666666666667,5060.833333333334,4986.0,4911.166666666668,5348.5,5294.5,-,-,2025-04-24T11:50:00+05:30,-,-
DMART,Consumer Services,4475.0,4485.0,4471.6,4491.966666666666,4549.9333333333325,4591.766666666666,4649.733333333333,4707.699999999997,4765.666666666664,4450.133333333332,4392.166666666666,4350.333333333332,4308.499999999996,4266.666666666664,4534.2,4508.0,-,-,2025-04-24T11:50:00+05:30,-,-
BHARTIHEXA,Telecommunication,1651.4,1652.1,1649.8,1658.9333333333334,1685.6666666666667,1724.6333333333334,1751.3666666666668,1778.1,1804.833333333334,1619.9666666666667,1593.2333333333333,1554.2666666666667,1515.2999999999993,1476.333333333333,1660.1,1628.9,-,-,2025-04-24T11:50:00+05:30,-,-
OFSS,Information Technology,8782.5,8789.5,8780.0,8513.0,8759.5,8901.5,9148.0,9394.5,9641.0,8371.0,8124.5,7982.5,7840.5,7698.5,8819.0,8682.5,-,-,2025-04-24T11:50:00+05:30,-,-
CANBK,Financial Services,99.48,99.51,99.45,99.43,101.32000000000001,103.19,105.08,106.97000000000003,108.86000000000001,97.56000000000002,95.67000000000002,93.80000000000003,91.93000000000006,90.06000000000006,100.3,99.0,-,-,2025-04-24T11:50:00+05:30,-,-
DIVISLAB,Healthcare,6229.5,6230.0,6227.0,5930.333333333333,5969.166666666666,6013.833333333333,6052.666666666666,6091.5,6130.333333333332,5885.666666666666,5846.833333333333,5802.166666666666,5757.5,5712.833333333332,6103.0,5953.5,R5,Long,2025-04-24T11:50:00+05:30,2025-04-24T09:30:00+05:30,Confirmed
IDFCFIRSTB,Financial Services,67.99,68.0,67.96,68.18,69.35000000000001,70.25,71.42,72.58999999999997,73.75999999999999,67.28000000000002,66.11000000000001,65.21000000000002,64.31,63.410000000000025,68.75,68.1,-,-,2025-04-24T11:50:00+05:30,-,-
COFORGE,Information Technology,7423.0,7426.0,7417.5,7320.166666666667,7501.833333333334,7611.666666666667,7793.333333333334,7975.0,8156.666666666668,7210.333333333334,7028.666666666667,6918.833333333334,6809.0,6699.166666666668,7484.5,7400.5,-,-,2025-04-24T11:50:00+05:30,-,-
GRASIM,Construction Materials,2726.6,2726.8,2724.5,2708.2000000000003,2741.3000000000006,2797.0000000000005,2830.100000000001,2863.2000000000007,2896.300000000001,2652.5000000000005,2619.4,2563.7000000000003,2508.0,2452.300000000001,2697.3,2673.0,-,-,2025-04-24T11:50:00+05:30,-,-
HDFCBANK,Financial Services,1918.2,1919.3,1917.9,1941.1000000000001,1961.7000000000003,1999.5000000000002,2020.1000000000004,2040.7000000000003,2061.3,1903.3000000000002,1882.7,1844.9,1807.0999999999995,1769.3000000000002,1916.7,1905.1,-,-,2025-04-24T11:50:00+05:30,-,-
HEROMOTOCO,Automobile and Auto Components,3950.2,3953.2,3944.9,3905.7666666666664,3988.933333333333,4037.3666666666663,4120.533333333333,4203.7,4286.866666666665,3857.333333333333,3774.1666666666665,3725.733333333333,3677.300000000001,3628.866666666667,3960.0,3930.0,-,-,2025-04-24T11:50:00+05:30,-,-
